Регион,population,cash_income,child_mort,disabled,grp,poverty_%,Social_expenses_%,retail,poverty_deti_%,poverty_pens_%,poverty_trud_%,manufacturing,supply,unemployed,borned,drug,alco,blood_d,metabolic_d,all_disease,square_liv,cluster
Рязанская область,1169858.9583333333,25542.0,4.4256192748406175e-05,1.3598540992210066,370728.4,12.919999999999998,20.64,173442.8,34.6,7.075,58.35,279335.87169109145,34961.12459948826,0.0,0.0097196966693759,27.1,64.5,3743.8,1588.3,70384.8,19.0,3
Смоленская область,998553.7083333334,25961.6,4.929621925514408e-05,0.911414921806284,347564.94000000006,16.6,24.2,176145.0,34.724999999999994,10.2,55.075,219815.5122312163,57709.493185415726,0.0,0.0093864438054398,6.2,86.8,3795.2,1777.6,72034.9,19.4,3
Тамбовская область,1102662.4166666667,26939.6,2.85247832630782e-05,1.2054287694125785,337670.0,10.46,21.46,194493.6,34.85,5.55,59.6,160791.3862816132,15215.02451548244,0.0,0.0088048094025599,3.4,50.6,2855.2,1395.1,64949.8,19.7,3
Тверская область,1373631.6666666667,25686.6,4.845646464857066e-05,0.8587282010339986,355152.92,12.1,21.52,179994.0,37.475,7.375000000000001,55.1,242980.85795697343,76329.16046376113,0.0,0.0101529412788255,5.0,53.7,2534.3,1097.7,86566.6,17.5,3
Тульская область,1575200.2916666667,27838.2,5.002521841171811e-05,1.1285466422299153,432651.9800000001,10.06,23.1,192589.6,39.925,3.6000000000000005,56.475,493209.5789122853,35376.991055773964,0.0,0.0089251893367859,8.9,74.3,3917.4,1741.1,72165.3,16.6,3
Ярославская область,1302403.4583333333,27839.0,4.42222518593828e-05,0.9619388615592526,450832.78,10.42,21.92,185987.2,36.325,5.275,58.425,306065.7155836567,35567.41518206048,0.0,0.0105989529615781,9.4,77.2,2005.6,1140.1,89949.9,15.8,3
г. Москва,11472290.791666666,69847.0,0.0,1.075059918195138,1434221.2,7.0,16.84,380821.8,39.65,9.775,50.625,532792.5093027529,65471.111761168206,0.0106221156883956,0.0105674930847778,10.2,24.9,1482.1,807.8,64633.3,13.8,2
Республика Карелия,660409.9166666666,29261.4,5.737155736526136e-05,1.1330118326761447,472717.5199999999,15.919999999999998,25.22,196723.4,38.725,5.625,55.7,188699.9216935849,42211.09092807013,0.0,0.0109882449023937,7.0,123.8,2675.6,1700.2,112365.5,17.1,3
Республика Коми,921096.3333333334,34028.4,4.764918354497683e-05,0.815908687075438,770613.3,15.5,21.7,186367.6,38.15,7.275,54.6,225789.2303174487,52998.563254831686,0.0,0.0120711538981641,11.0,105.7,2256.3,1859.5,111709.0,15.5,3
Архангельская область,1241397.125,34001.4,5.230803677164341e-05,0.8344992743558997,699021.3799999999,27.140000000000004,21.82,227690.6,35.2,7.025,57.8,220137.09161333647,32903.24915620416,0.0294829102330972,0.0112706529273639,0.0,0.0,2452.0,1350.8,99842.1,16.9,3
