Регион,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Липецкая обл.,25300.0,25800.0,22300.0,23000.0,23100.0,23600.0,24100.0,22000.0,22400.0,22600.0,29900.0,27800.0,34900.0,30700.0,16700.0,30000.0,48300.0,25600.0,27000.0,29700.0,38400.0,52100.0
Магаданская обл.,4300.0,4900.0,3900.0,4400.0,4800.0,4000.0,4000.0,2900.0,2800.0,3400.0,4500.0,5700.0,6700.0,7400.0,5800.0,5300.0,7000.0,8700.0,10800.0,9100.0,12700.0,12900.0
Марий Эл,17700.0,22100.0,15400.0,16600.0,21300.0,21300.0,19000.0,17300.0,19200.0,23800.0,37600.0,39400.0,42100.0,34100.0,34600.0,36300.0,38200.0,35900.0,41800.0,50600.0,34100.0,43700.0
Мордовия,17800.0,21600.0,18500.0,17700.0,18600.0,18800.0,18900.0,19000.0,20200.0,22400.0,24200.0,25000.0,24500.0,12900.0,16000.0,20400.0,28700.0,26200.0,33100.0,40300.0,44000.0,47100.0
Москва,193500.0,193000.0,99500.0,90100.0,99600.0,127100.0,125200.0,104400.0,117100.0,54800.0,95400.0,114800.0,176300.0,59200.0,52000.0,99500.0,49500.0,96300.0,74100.0,81400.0,116500.0,205300.0
Московская обл.,140500.0,150300.0,114100.0,110600.0,131100.0,133200.0,129300.00000000001,104900.0,108000.0,116300.0,148400.0,130500.0,187400.0,105700.0,78800.0,110800.0,117900.0,139900.0,159800.0,152500.0,196900.0,283500.0
Мурманская обл.,24200.0,31800.0,22900.0,29000.0,30900.0,34300.0,35300.0,30700.0,33700.0,36300.0,40600.0,41800.0,37100.0,32700.000000000004,30100.0,33400.0,44200.0,54300.0,52400.0,54500.0,69200.0,72700.0
Ненецкий АО,1600.0,1900.0,1800.0,1800.0,1800.0,2000.0,1800.0,1200.0,1600.0,1600.0,2000.0,1500.0,2300.0,1900.0,1500.0,1300.0,2500.0,1700.0,2000.0,1500.0,1500.0,2400.0
Нижегородская обл.,73100.0,80000.0,71400.0,73100.0,75200.0,76300.0,75200.0,75200.0,75800.0,98100.0,128699.99999999999,137700.0,135100.0,101300.0,82300.0,96500.0,107200.0,133300.0,112300.0,141500.0,149200.0,144400.0
Новгородская обл.,12200.0,16700.0,11000.0,13000.0,14900.0,15600.0,14800.0,12000.0,15600.0,13800.0,16500.0,19200.0,21000.0,16700.0,18100.0,18700.0,20300.0,21200.0,17600.0,21500.0,23100.0,27500.0
Новосибирская обл.,87400.0,92800.0,86900.0,96200.0,85300.0,107600.0,98900.0,73600.0,84200.0,80700.0,98900.0,109500.0,141000.0,105000.0,97200.0,101100.0,108000.0,121400.0,150100.0,154100.0,162000.0,183500.0
Омская обл.,65400.00000000001,90800.0,65500.0,69300.0,72300.0,75700.0,71700.0,70100.0,72400.0,72000.0,83800.0,85500.0,88600.0,82500.0,82600.0,92400.0,90100.0,89100.0,95900.0,95400.0,97500.0,145400.0
Оренбургская обл.,44400.0,55400.0,41200.0,44700.0,45700.0,50000.0,48900.0,46400.0,52600.0,56000.0,66000.0,77000.0,92600.0,69500.0,75400.0,68500.0,96400.0,118100.0,117400.0,105100.0,86000.0,127100.0
Орловская обл.,16400.0,21300.0,18500.0,18200.0,24600.0,24700.0,23900.0,20000.0,23000.0,20900.0,24400.0,35500.0,39300.0,24100.0,22900.0,25300.0,26300.0,26600.0,34100.0,29700.0,33800.0,37600.0
Пензенская обл.,28100.0,32299.999999999996,28300.0,30400.0,30500.0,32700.000000000004,32800.0,32600.0,33600.0,34500.0,37200.0,44100.0,56000.0,53800.0,35700.0,45900.0,46800.0,46700.0,63900.0,51300.0,100200.0,86400.0
Пермский край,57000.0,70500.0,63100.0,67800.0,77500.0,76500.0,81700.0,74800.0,86600.0,84900.0,104100.0,116700.0,140600.0,117600.0,91800.0,98800.0,112500.0,104600.0,103300.0,130800.00000000001,98200.0,151700.0
Приморский край,42200.0,54700.0,51600.0,55900.0,56300.0,62800.0,73400.0,72900.0,75800.0,72900.0,85000.0,101700.0,103800.0,81600.0,75700.0,82400.0,85700.0,105000.0,90100.0,97200.0,95800.0,139600.0
Псковская обл.,14900.0,19600.0,16100.000000000002,18200.0,20800.0,22300.0,23200.0,22300.0,24400.0,23200.0,33100.0,33800.0,39500.0,23800.0,17700.0,26700.0,23500.0,20100.0,29800.0,27800.0,37300.0,43100.0
Ростовская обл.,85900.0,106400.0,101200.0,109200.0,120400.0,125900.0,130300.00000000001,125800.0,128699.99999999999,130100.0,159500.0,167100.0,184100.0,142600.0,147200.0,173200.0,181600.0,191800.0,263400.0,239800.0,271800.0,318600.0
Рязанская обл.,20600.0,27600.0,21100.0,22000.0,22000.0,23800.0,25100.0,23900.0,26100.0,25800.0,41200.0,48300.0,51800.0,31000.0,22400.0,28200.0,32000.0,34000.0,49200.0,50200.0,63800.0,57700.0
Самарская обл.,58400.0,74600.0,65600.0,63800.0,72200.0,71900.0,60100.0,53100.0,55700.0,60000.0,88500.0,101200.0,107500.0,75400.0,75000.0,74800.0,93200.0,93500.0,73600.0,93700.0,104200.0,173900.0
Санкт-Петербург,63100.0,90000.0,42200.0,44700.0,50300.0,49800.0,61900.0,39000.0,43500.0,33000.0,55800.0,74300.0,116600.0,57400.0,57700.0,64400.00000000001,57400.0,70100.0,105000.0,86300.0,98300.0,153100.0
Саратовская обл.,52400.0,65000.0,51900.0,60300.0,57400.0,63700.0,59000.0,58400.0,65700.0,69000.0,78200.0,85800.0,115300.0,100200.0,105200.0,107800.0,121300.0,128100.0,134900.0,98400.0,126300.0,129800.00000000001
Саха,34400.0,37000.0,34400.0,34700.0,35600.0,35000.0,36700.0,37300.0,37400.0,40000.0,44100.0,43700.0,44100.0,45600.0,38100.0,47400.0,44900.0,44500.0,47100.0,35100.0,39000.0,54500.0
Сахалинская обл.,14400.0,15300.0,14300.0,14800.0,16500.0,17600.0,17800.0,18400.0,20500.0,21900.0,22900.0,25600.0,28600.0,22100.0,13400.0,14600.0,23600.0,21800.0,27500.0,27200.0,36400.0,39800.0
Свердловская обл.,86200.0,122200.0,89400.0,103000.0,119200.0,137700.0,149400.0,138400.0,136300.0,133400.0,167200.0,193900.0,191200.0,112800.0,125200.0,167400.0,158700.0,171000.0,178300.0,195200.0,179500.0,233400.0
Севастополь,9600.0,10000.0,8600.0,9300.0,9200.0,12000.0,16600.0,138400.0,136300.0,133400.0,167200.0,193900.0,191200.0,112800.0,125200.0,167400.0,158700.0,171000.0,178300.0,195200.0,179500.0,233400.0
Северная Осетия,42100.0,44000.0,37500.0,36500.0,39400.0,31900.0,30700.0,29200.0,27800.0,27800.0,29500.0,36800.0,38500.0,35300.0,31100.0,25900.0,29000.0,37100.0,34100.0,43900.0,59500.0,96000.0
Смоленская обл.,24200.0,25300.0,25300.0,26200.0,29800.0,31400.0,32800.0,26900.0,28100.0,30900.0,41500.0,40800.0,43600.0,37200.0,36900.0,43600.0,41400.0,48100.0,56400.0,59500.0,53500.0,67200.0
Ставропольский край,72200.0,84600.0,66900.0,69000.0,70200.0,78300.0,77800.0,73000.0,76900.0,74300.0,82400.0,94100.0,116800.0,108300.0,88800.0,114800.0,89300.0,119900.0,133600.0,115800.0,120400.0,177700.0
Тамбовская обл.,19800.0,22800.0,19600.0,20500.0,22500.0,23600.0,24300.0,22800.0,24600.0,26100.0,35900.0,43400.0,50400.0,52000.0,50400.0,49100.0,48200.0,49600.0,50000.0,52600.0,63400.0,47600.0
Татарстан,53600.0,73700.0,66400.0,67700.0,70800.0,77500.0,82000.0,80800.0,80700.0,84600.0,94900.0,126300.0,168100.0,96000.0,108100.0,105500.0,125400.0,138400.0,124700.0,99700.0,116100.0,158700.0
Тверская обл.,25300.0,29000.0,26700.0,27900.0,31200.0,39900.0,39100.0,38000.0,38300.0,36500.0,43300.0,47100.0,57600.0,36400.0,30400.0,32800.0,42400.0,38600.0,47100.0,34600.0,55300.0,68500.0
Томская обл.,37000.0,46400.0,29500.0,34500.0,33800.0,39700.0,40400.0,41800.0,39200.0,41600.0,46400.0,41800.0,46700.0,43000.0,37000.0,47300.0,54800.0,54400.0,69300.0,59100.0,51200.0,68000.0
Тульская обл.,30100.0,35100.0,29900.0,30600.0,30700.0,33000.0,33200.0,33500.0,33900.0,37400.0,42500.0,47000.0,48600.0,27200.0,21600.0,22700.0,40300.0,38700.0,42600.0,49400.0,43800.0,83400.0
Тыва,19100.0,23500.0,14400.0,18800.0,23100.0,21300.0,23200.0,23800.0,23500.0,22000.0,23300.0,27600.0,27000.0,22600.0,21900.0,26000.0,29300.0,25800.0,27800.0,26000.0,28900.0,27200.0
Тюменская обл.,32000.0,35300.0,29600.0,32299.999999999996,36200.0,40200.0,43200.0,38300.0,36400.0,39500.0,43000.0,47800.0,51900.0,39200.0,34400.0,55200.0,32500.0,56900.0,53800.0,50900.0,71000.0,69700.0
Удмуртия,34200.0,48200.0,32600.0,37800.0,38100.0,42300.0,40900.0,41700.0,46800.0,49800.0,58000.0,77500.0,74900.0,65200.0,67800.0,70900.0,63900.0,64200.0,53300.0,65000.0,59400.0,78300.0
Ульяновская обл.,26200.0,29200.0,23000.0,23400.0,28300.0,29700.0,32000.0,31000.0,37400.0,37900.0,47300.0,58800.0,60200.0,48500.0,31200.0,46000.0,53500.0,64200.0,48100.0,42900.0,57000.0,44700.0
Хабаровский край,21800.0,28700.0,26800.0,27300.0,35700.0,36600.0,38900.0,43900.0,42200.0,47600.0,49700.0,65900.0,75800.0,65300.0,41000.0,44100.0,43100.0,49800.0,46900.0,51900.0,77500.0,93500.0
Хакасия,16200.0,20900.0,14900.0,13200.0,12700.0,16300.0,15300.0,16100.000000000002,15800.0,20800.0,19400.0,24300.0,23600.0,18900.0,17600.0,23700.0,24600.0,27200.0,28400.0,21000.0,22800.0,31800.0
Ханты-Мансийский АО,23900.0,27200.0,22400.0,22700.0,30000.0,41700.0,40500.0,42100.0,43700.0,49900.0,56900.0,68600.0,62300.0,70000.0,66900.0,52800.0,67200.0,79200.0,77800.0,80500.0,88800.0,87700.0
Челябинская обл.,91500.0,125900.0,95100.0,105300.0,123500.0,130500.0,129400.0,116100.0,113300.0,120200.0,124300.0,139900.0,148900.0,79100.0,43900.0,93200.0,95100.0,89500.0,106500.0,110100.0,149900.0,155600.0
Чечня,94900.0,120800.0,85900.0,86300.0,87100.0,98100.0,105800.0,135900.0,174700.0,177900.0,205300.0,238300.0,194400.0,172100.0,254800.0,311200.0,95100.0,89500.0,106500.0,110100.0,149900.0,155600.0
Чувашия,29000.0,36600.0,28300.0,31200.0,31900.0,33900.0,33200.0,34000.0,38300.0,38400.0,51800.0,63400.0,78000.0,53900.0,60500.0,58100.0,77400.0,64000.0,54800.0,63100.0,62500.0,61300.0
Чукотский АО,800.0,1400.0,1200.0,900.0,900.0,1100.0,1300.0,1100.0,1100.0,1400.0,1800.0,1500.0,1600.0,1700.0,1200.0,1300.0,1400.0,1200.0,1600.0,1600.0,2400.0,3700.0
Ямало-Ненецкий АО,6600.0,7300.0,6100.0,6600.0,10000.0,8400.0,11300.0,10300.0,10300.0,11400.0,11300.0,13400.0,14300.0,19400.0,8600.0,16900.0,22300.0,19400.0,16900.0,20800.0,21300.0,25800.0
Ярославская обл.,39000.0,47400.0,35000.0,36400.0,44100.0,45200.0,36800.0,26400.0,30200.0,22700.0,34500.0,50900.0,55400.0,41100.0,23600.0,20500.0,27200.0,32299.999999999996,41000.0,26800.0,48600.0,55300.0
Россия,3630500.0,4321300.0,3464800.0,3658500.0,3969500.0,4243500.0,4263900.0,3889400.0,4137399.9999999995,4130700.0,4922400.0,5544200.0,6283700.0,4697000.0,4518600.0,5250200.0,5242000.0,5666000.0,5933500.0,5698300.0,6423700.0,7699500.0
