Регион,population,cash_income,child_mort,disabled,grp,poverty_%,Social_expenses_%,retail,poverty_deti_%,poverty_pens_%,poverty_trud_%,mining,manufacturing,industry,supply,unemployed,borned,drug,alco,respiratory_d,blood_d,metabolic_d,all_disease,square_liv
Республика Татарстан (Татарстан),3818847.625,34053.2,5.839045122370966e-05,0.8930209018224444,635710.66,7.040000000000001,12.5,228324.6,41.0,8.525,50.474999999999994,160518.8760426956,475885.16313181614,681802.592138306,35883.80339990849,0.0186496050624696,0.012557435975549192,9.7,54.4,35126.1,3078.7,1335.6,79394.9,16.2
Удмуртская Республика,1535058.0,24391.6,5.2508929616552715e-05,0.8184926888755995,429598.23999999993,12.219999999999999,20.32,152320.6,42.975,6.2749999999999995,50.775000000000006,146709.0271900507,238933.2271571926,418981.1858411755,26623.06415923271,0.0,0.012778062212925989,3.7,79.3,47827.9,3406.0,937.2,99088.4,14.8
Чувашская Республика — Чувашия,1263311.5833333333,19075.4,3.542679280804221e-05,0.7455577566342007,258840.44,17.84,23.52,125712.2,32.9,5.699999999999999,61.425,590.6572877554158,166982.64434299123,193776.19521808744,20942.53524906357,0.0256310481334804,0.011958835229404208,1.9,91.6,37624.2,3033.8,1884.2,93394.5,14.2
Пермский край,2692549.7916666665,29120.0,5.7878586446447424e-05,0.9153108357095533,513885.02,14.479999999999999,22.4,202117.0,40.525,5.175,54.275000000000006,130673.36925535079,409349.40949776844,597484.7614520971,47213.161938038684,0.026398769010693785,0.012784540401589274,10.4,136.9,43730.8,3071.3,1460.0,94982.5,16.0
Кировская область,1374954.4166666667,22631.0,4.2658155488278425e-05,1.0805780046162743,276737.5399999999,15.02,24.52,151533.4,38.075,5.05,56.825,1347.9466876935844,181374.071659528,220032.32203753683,31622.92690271743,0.0,0.011063434318633419,3.7,65.4,34783.8,2979.3,1789.9,74475.5,14.9
Нижегородская область,3359866.875,31850.6,5.561296963897187e-05,1.0375454235817008,458225.11999999994,9.639999999999999,21.880000000000003,225018.4,35.6,7.5,56.925,510.6429584217227,425294.9590210789,468570.789057933,33125.372572776825,0.0,0.010507173992287802,10.6,65.1,45516.8,4688.2,1346.6,91127.3,17.5
Оренбургская область,2058515.4166666667,23528.4,6.319038395608638e-05,1.1151167396730288,498018.04000000004,14.279999999999998,26.18,155824.8,42.849999999999994,5.25,51.875,254118.1003752136,163394.52278993872,459351.12071019737,31982.52578901661,0.0,0.012602078331323579,4.7,105.4,33993.2,4082.1,2118.9,79188.8,19.0
Пензенская область,1390365.0416666667,22176.6,4.116555161045474e-05,0.8329731511457676,316003.9,13.819999999999999,21.939999999999998,156378.8,37.3,9.5,53.25,992.9256236092874,166092.70685997957,188719.4585612187,16819.83071977242,0.0,0.009475131385919178,7.6,122.8,31129.2,5132.0,1598.7,73083.1,16.9
Самарская область,3218552.4583333335,28308.8,4.839045751818071e-05,0.7955936040035803,484881.07999999996,12.940000000000001,22.26,202272.2,39.625,5.875,54.49999999999999,100762.32448983025,337986.44438630337,492280.68536378053,39886.69398691524,0.0,0.011022303260017036,13.3,52.3,45862.7,2774.3,1751.4,97537.6,16.9
Саратовская область,2545948.875,21654.8,4.508734756714694e-05,0.6445005695568022,317033.77999999997,15.779999999999998,26.24,145773.4,39.425,5.6,55.0,14471.839098032893,162157.63811310648,222501.9853254749,39847.428709196276,0.0,0.010081134896194905,5.5,71.9,30451.7,5018.9,1608.6,74819.3,17.8
Ульяновская область,1308110.2916666667,23397.2,5.145200077337898e-05,1.027196260559961,320830.74,15.080000000000002,25.2,150882.4,35.575,4.9,59.525000000000006,8581.511699855477,222760.59686926115,260810.3367635049,21977.551961423036,0.0,0.010205057109367335,21.5,107.8,38271.9,3572.4,1379.9,87077.9,17.9
Курганская область,923916.125,20866.6,6.095720803288916e-05,0.9575723120970532,262938.92000000004,19.58,24.639999999999997,135557.0,39.525,4.0249999999999995,56.474999999999994,4025.2237379639514,134341.60232970823,167190.9173834987,24536.347118316025,0.0,0.011821339615125975,20.1,98.2,36795.3,5379.8,2461.8,96602.5,16.7
Свердловская область,4371458.458333333,36626.2,5.8191692207117023e-05,0.7512436138423406,549023.68,9.48,22.06,258347.8,42.825,4.7,52.425,19026.820567790597,452277.47889149765,544761.5711305046,56700.16666553021,0.0,0.012590969277422343,14.3,65.7,32591.2,2726.9,1302.1,75208.5,15.8
Тюменская область,3456986.0416666665,46283.2,5.8831124663666454e-05,0.3254033966124032,2065394.5200000003,27.080000000000002,19.9,248889.6,44.449999999999996,4.975,50.55,1588332.661797186,455474.5741848202,2145068.101118028,88223.90119488523,0.010043430775109798,0.015024546703484572,0.0,0.0,30915.4,2471.2,1929.6,64208.6,18.1
Ханты-Мансийский автономный округ — Югра,1536470.2916666667,50827.2,0.0,0.3922757265590909,2302429.0200000005,9.48,15.520000000000001,247378.8,46.725,5.050000000000001,48.2,2000791.6296803178,372785.6710789048,2520713.669574789,132684.5225146767,0.018744260892125393,0.01515621880777485,15.3,75.5,41421.5,2134.6,1741.8,90676.1,13.9
Ямало-Ненецкий автономный округ,525722.2083333334,80159.8,7.394977096279361e-05,0.3094571570711496,4959212.88,5.86,13.12,249663.0,47.699999999999996,1.05,51.225,4351446.059061701,682046.9755753207,5154432.84977897,99874.17749927074,0.014608475499537024,0.014921742858447933,9.5,113.1,60314.1,2578.5,1934.8,118256.9,15.5
Челябинская область,3520981.375,24763.0,6.015345252508815e-05,0.754446052700293,427012.82,13.039999999999997,22.8,152491.2,42.225,3.25,54.550000000000004,26757.78917776807,412282.81605716224,487277.4890072049,37181.2312857697,0.0,0.012317614526255911,23.3,85.3,40908.6,2872.7,1343.7,88428.4,16.0
Республика Алтай,209046.41666666666,19590.6,0.0001452581319085942,1.25754607130713,248337.86000000002,24.619999999999997,17.42,120855.0,45.375,3.9,50.699999999999996,9460.70166393147,19025.103079029075,43761.13003826358,13146.28545390899,0.0,0.018492383513530483,7.0,67.4,39682.8,3535.0,1429.2,89433.5,14.4
Республика Тыва (Тува),311817.0416666667,16234.6,0.00017670142573793108,0.7947352674358054,221798.32,34.76,21.4,73470.2,45.675,4.4,49.925000000000004,70018.25998166588,1635.8152935357055,87553.83925936646,14863.682522519479,0.06484571815550491,0.02368090433660363,8.6,84.9,26164.5,1962.7,946.7,60756.5,13.6
Республика Хакасия,538262.5833333334,21594.6,6.372470681828712e-05,0.6211471136067263,444621.93999999994,18.78,21.580000000000002,157649.6,39.599999999999994,4.6,55.775000000000006,125064.97752245297,180370.21977893315,405744.7490082375,96799.6423294068,0.0,0.013522484006173363,13.6,89.8,34825.2,3618.0,1460.0,86026.5,17.9
Алтайский край,2453999.6666666665,22805.0,6.651964689648831e-05,0.8423439408236812,253174.02000000002,17.56,27.82,149056.0,37.55,6.15,56.300000000000004,3000.464249849863,144263.00693119928,170813.09773815327,19419.181018088395,0.030920949595347677,0.011499786510927172,17.4,100.1,40416.4,5383.2,3885.0,112764.7,18.0
Красноярский край,2889814.375,30258.0,6.978216443910199e-05,0.736117869162444,807521.7200000001,17.48,21.279999999999998,187646.4,38.875,5.6000000000000005,55.5,236393.57685428954,478239.49788107956,785263.9816220477,60015.053229392055,0.027918748241398724,0.012696552979948806,20.0,102.6,28975.4,3660.2,1383.6,78434.8,16.6
Иркутская область,2472794.2916666665,24865.6,8.452847270286371e-05,1.0186669220682412,576993.58,18.22,24.4,146148.0,39.474999999999994,6.075,54.425,230378.92817132449,210642.19535107893,499579.50970830326,51362.404663561305,0.0,0.014070166445212313,17.9,104.8,44223.6,3376.1,2017.0,99980.3,16.3
Кемеровская область — Кузбасс,2780152.0,23394.2,6.396603131e-05,0.9547032860073837,403979.13999999996,14.280000000000001,22.44,140139.2,42.025000000000006,5.025,52.97500000000001,341328.13736673194,231171.94810304575,621182.0152116278,36444.27930565993,0.03164575174307016,0.011711026717158256,17.8,54.5,30986.3,4724.4,1668.0,86241.9,16.3
Новосибирская область,2716276.4166666665,29091.0,6.426244057842151e-05,0.8004984274274738,453584.55999999994,14.6,22.4,180102.8,36.325,7.025,56.6,24209.81441990422,188641.47254040974,243533.64084262017,23230.67248796062,0.0,0.012450868080639697,21.3,33.0,39840.2,2442.8,1218.2,77378.7,16.3
Омская область,2003814.4166666667,25834.4,7.22775886809476e-05,0.7617488113191453,373958.5,14.0,27.159999999999997,169617.8,41.65,5.550000000000001,52.825,1597.9594537580451,459199.08941050776,493638.732076544,27125.993473945964,0.0,0.012365068024656412,8.2,37.7,30152.7,3922.8,2281.3,85381.7,16.9
Томская область,1055317.6666666667,27479.2,5.194587823560029e-05,0.6782611744394184,532268.76,14.74,21.220000000000002,147371.4,40.225,4.5,55.3,163733.36296218427,172309.51164653234,376853.97029838903,32905.648988950736,0.0,0.012141841357331656,11.1,55.8,30863.8,2240.3,2068.9,70726.0,16.9
Республика Бурятия,979828.2083333334,24604.8,8.679919895082799e-05,0.9075680230849991,262675.58,19.48,22.06,183238.4,43.5,4.95,51.574999999999996,35261.20136819448,75564.50872298669,139712.64621384122,26556.380841002956,0.04347700917129308,0.015745030981918557,3.7,52.0,28852.3,2802.1,1446.4,61456.1,17.2
Забайкальский край,1111500.125,24316.4,7.960341421284687e-05,0.854147902142611,321327.44000000006,21.580000000000002,24.139999999999997,154301.0,37.300000000000004,7.85,54.849999999999994,116426.47092451912,25078.463821066784,176286.08973814943,31746.910389995064,0.04852900938720092,0.014451777425717231,5.5,110.7,31947.6,2860.4,1295.5,65922.4,17.1
Республика Саха (Якутия),961146.3333333334,42811.2,7.776770202282945e-05,0.6536920843478915,1099323.74,18.62,14.86,234938.0,45.2,5.425000000000001,49.375,805242.6780557339,37863.44436215615,919417.9101379792,69952.63865492008,0.0,0.01566303944518939,3.2,180.9,53933.4,2204.8,922.0,104555.1,16.5
Камчатский край,332286.5,49194.8,7.743954184153345e-05,0.4889906752155143,820668.1399999999,15.959999999999999,14.16,183505.6,41.55,3.0,55.45,75871.81083553162,392993.1229387755,544182.4414577542,66411.91560255096,0.02275145093165085,0.011956483501505808,10.1,75.0,36228.2,3920.7,1133.1,77458.3,15.9
Приморский край,1983075.625,34468.0,6.256855729311404e-05,0.6533829238105834,514011.27999999997,14.319999999999999,22.080000000000002,211644.0,41.55,5.55,52.89999999999999,11769.89538389258,131035.7841496132,182716.5400717057,34690.403769213444,0.028370072876065935,0.011346159506438736,52.6,78.6,32834.6,2349.8,707.3,72917.4,15.7
Хабаровский край,1368812.25,39189.2,5.97740959030002e-05,0.581830707608001,574156.62,12.38,21.98,246843.0,37.525,8.025,54.475,41326.06855136882,241124.38669140136,335707.7895027794,43438.724528083556,0.02266198304405882,0.012437733848868097,10.2,146.5,32626.0,2376.2,641.5,67303.6,15.4
Амурская область,843491.5833333334,31385.8,5.812747797545198e-05,0.938309896196356,451290.98,16.04,24.740000000000002,216919.0,38.2,5.625,56.175000000000004,101848.14150150091,45043.594268901026,201588.61892365938,50694.9708650507,0.0,0.01247213581439041,18.9,92.3,35518.0,2132.2,1147.3,83412.0,17.3
Магаданская область,162743.79166666666,60442.2,4.042024473576901e-05,0.3700217955062802,1392228.04,10.320000000000002,12.04,225678.0,36.233333333333334,8.766666666666667,55.0,530912.0251403215,650786.2753778477,1305758.628608915,117042.84172643987,0.0,0.010973243657402099,11.6,161.9,29275.3,1453.4,1146.6,67012.9,13.8
Сахалинская область,512576.2916666667,54707.6,4.996078979124863e-05,0.5040181416896395,2029395.3800000001,8.7,14.26,307109.8,38.06666666666666,7.599999999999999,54.300000000000004,1730590.7901699694,125784.57481183484,1900898.3794113074,37494.058034042355,0.0,0.012407767498967232,15.4,141.4,38148.9,2228.6,1302.9,83995.5,17.2
Еврейская автономная область,175942.20833333334,25218.8,0.00012384253471485089,0.8687724875568753,345560.42000000004,24.2,26.139999999999997,151120.0,34.125,9.65,56.225,76337.4441786248,39475.780932183945,147256.36767739517,28565.380907947878,0.03307904371061236,0.012781612112816141,66.8,137.9,30494.2,2894.3,862.6,70367.2,13.8
Чукотский автономный округ,52577.125,78492.6,0.0001603646950802755,0.36511125323037347,1780297.36,8.48,6.4799999999999995,191623.8,32.63333333333333,0.9,33.13333333333333,858640.8688101945,812994.3153005901,1880771.4479767026,198939.13948923198,0.0,0.013146549674232746,0.0,331.0,70452.8,3124.2,1289.9,128506.5,14.1
